collections,site_id,site_name,placekey,places
"Crustacea, General Invertebrate",CMNI 1985-0295,DFO(ABS) 1956 818 B-32,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:3)"
"Crustacea, General Invertebrate",CMNI 1986-0892,Calanus 1950 224,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:3)"
Parasite,CMNPA 1986-0532,Sekerak-1971-ADS-71-173,,"North America: Canada, British Columbia, Nanoose Land Distr., Dolphin Beach [placekey:10440] (total:2) | North America: Canada, British Columbia, Nanaimo Land Distr., Nanaimo [placekey:8822] (total:2)"
Mollusc,AHC 1963-06-29 C440,AHC 1963-06-29 C440,,"North America: Canada, Ottawa Riv. [placekey:12156] (total:1) | North America: Canada, Ontario, Renfrew Co. (ON) [placekey:394] (total:2) | North America: Canada, Québec, Mun. Rég. de Cté de Pontiac [placekey:10885] (total:1)"
Mollusc,HDS&JJ 1965-10-12 040786,HDS&JJ 1965-10-12 040786,,"North America: United States, Tennessee, Hancock Co. (TN), Kyles Ford [placekey:24442] (total:3) | North America: United States, Kentucky, Hancock Co. (KY) [placekey:2044] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0426,Calanus 1954 616 B-16,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:3)"
Vascular Plant,CAN 59643,CAN 59643-Shingle Point(NT),,"North America: Canada, Northwest Territories, Mackenzie Bay (NT) [placekey:17910] (total:2) | North America: Canada, Yukon Territory, Shingle Point (YT) [placekey:11692] (total:1)"
Mollusc,AHC 1961-08-04 C256,AHC 1961-08-04 C256,,"North America: Canada, Ontario, Thunder Bay Distr. (ON), Savant Lake [placekey:25313] (total:2) | North America: Canada, Ontario, Thunder Bay Distr. (ON), Savant Lake (ON) [placekey:33956] (total:2)"
"Crustacea, General Invertebrate",CMNI 1986-0312,DFO(ABS) 1961 61-12 B-12,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Chesterfield Inlet (Bay) [placekey:28950] (total:3)"
General Invertebrate,Johansen 1914 37c,Johansen 1914 37c,,"North America: Canada, Northwest Territories [placekey:14] (total:3) | North America: Canada, Nunavut, Bernard Hbr. [placekey:549] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0222,Calanus 1957 901 B-49,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:3)"
Crustacea,Judd 1965 J1-05,Judd 1965 J1,,"North America: Canada, Ontario, Middlesex Co. (ON), Middlesex Centre Twp. [placekey:17071] (total:3) | North America: Canada, Ontario, Oxford Co. (ON), Zorra Twp. [placekey:27775] (total:1)"
Mollusc,CDN 058944,CDN 058944,,"North America: United States, Florida, Gilchrist Co. [placekey:1344] (total:3) | North America: United States, Florida, Levy Co. [placekey:1364] (total:1)"
Parasite,CMNPA 1985-0145,Shostak B3,,"North America: Canada, Nunavut, Baffin I. [placekey:140] (total:1) | North America: Canada, Northwest Territories [placekey:14] (total:3)"
Crustacea,CMNC 2003-0440,DFO (Arctic Biological Station)-1961 61-003,,"North America: Canada, Hudson Bay [placekey:13168] (total:1) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:3)"
Crustacea,CMNC 2010-0555,LDD 555,,"North America: Canada, Alberta, Bergen (AB) [placekey:30482] (total:2) | North America: Canada, Alberta, Elkton [placekey:30788] (total:2)"
"Crustacea, General Invertebrate",CMNI 1987-0283,Gorham 1960 21,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada [placekey:2] (total:2) | North America: Canada, Gulf of St. Lawrence [placekey:16749] (total:1)"
"Crustacea, Mollusc",Clarke 1962-07-04 404,Clarke 1962-07-04 404,,"North America: Canada, Saskatchewan, Weyburn [placekey:15808] (total:1) | North America: Canada, Saskatchewan, Souris Riv. (SK) [placekey:27404] (total:3)"
Crustacea,ELB 1976 EB09,ELB 1976 EB09,,"North America: Canada, British Columbia, Vancouver I. [placekey:171] (total:2) | North America: Canada, British Columbia, New Westminster Land Distr., West Vancouver [placekey:852] (total:2)"
Mollusc,EWS 1962-07-15 - 1962-07-21 Baker Lake,EWS 1962-07-15 - 1962-07-21 Baker Lake,,"North America: Canada, Nunavut, Baker Lake [placekey:12350] (total:2) | North America: Canada, Nunavut, Kitikmeot Region [placekey:25219] (total:1) | North America: Canada, Northwest Territories [placekey:14] (total:1)"
Mollusc,WMD 1961-07-00 Bridesville,WMD 1961-07-00 Bridesville,,"North America: Canada, British Columbia, Similkameen Division Yale Land Distr., Osoyoos [placekey:16429] (total:1) | North America: Canada, British Columbia, Similkameen Division Yale Land Distr., Bridesville [placekey:17573] (total:2) | North America: Canada, British Columbia [placekey:3] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-2710,Gorham 1960 22,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Gulf of St. Lawrence [placekey:16749] (total:3)"
"Crustacea, Mollusc",CMNML 023059,Gorham 1961 G101,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:1) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:3)"
Mollusc,EDK RMC Grounds,EDK RMC Grounds,,"North America: Canada, Ontario, Lake Ontario [placekey:11949] (total:2) | North America: Canada, Ontario, Frontenac Co. (ON), Kingston [placekey:24528] (total:1) | North America: Canada, Ontario [placekey:7] (total:1)"
Parasite,CMNPA 1984-5762,Arai 1965 HPA-134 Hvidsten,,"North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10239] (total:4) | North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10233] (total:4)"
Mollusc,CMNML 015023,Herrington-1961-06-06 P-1902,,"North America: Canada, Ontario, Lake Ontario [placekey:11949] (total:3) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Bath [placekey:10714] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0257,Calanus 1962 62-2002 B-34,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Somerset I., Creswell Bay [placekey:19529] (total:3)"
"Crustacea, General Invertebrate",CMNI 1986-0329,Calanus 1955 713 B-13,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:3)"
Mollusc,AHC&MKJ 1966-07-21 Sta. 863,AHC&MKJ 1966-07-21 Sta. 863,,"North America: Canada, Nunavut, Ennadai Lake [placekey:27692] (total:3) | North America: Canada, Northwest Territories [placekey:14] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0863,DFO(ABS) 1961 61-5 B-5,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:3)"
Mollusc,CMNML 071034,JGO 1966-07-18 G-14,,"North America: Canada, Ontario, Grand Riv. [placekey:26236] (total:3) | North America: Canada, Ontario, Waterloo Reg. Mun., Breslau [placekey:23095] (total:1)"
Mollusc,AHC 1962-06-12 Rideau River,AHC 1962-06-12 Rideau River,,"North America: Canada, Ontario, Ottawa (metro), Ottawa [placekey:225] (total:3) | North America: Canada, Ontario, Rideau Riv. [placekey:15619] (total:1)"
Parasite,CMNPA 1978-1197,Anderson Fallis Farm,,"North America: Canada, Ontario, Toronto [placekey:884] (total:3) | North America: Canada, Ontario, Peel Reg. Mun., Caledon East [placekey:30299] (total:1)"
"Crustacea, Mollusc",CMNML 036042,Ellis 1954 B23,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Baffin I., Arctic Bay [placekey:10092] (total:3)"
Mollusc,CLT&WEG 1951-07-09 Winnipeg River,CLT&WEG 1951-07-09 Winnipeg River,,"North America: Canada, Manitoba, Seven Sisters Falls [placekey:15416] (total:2) | North America: Canada, Manitoba, Winnipeg Riv. [placekey:30279] (total:2)"
"Crustacea, General Invertebrate",CMNI 1985-0424,DFO(ABS) 1961 61-17 B-16,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Roes Welcome Sound [placekey:28222] (total:3)"
"Crustacea, Mollusc",CMNML 036085,Ellis 1955 B38,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Baffin I., Salmon Riv. (NU) [placekey:11490] (total:3)"
"Crustacea, General Invertebrate",CMNI 1985-0466,Calanus 1962 62-2017 B-41,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Somerset I., Creswell Bay [placekey:19529] (total:3)"
Mollusc,AHC 1960-08-31 C183,AHC 1960-08-31 C183,,"North America: Canada, Ontario, Cochrane Distr. (ON) [placekey:854] (total:2) | North America: Canada, Ontario, Cochrane Distr. (ON), Hearst [placekey:33292] (total:2)"
"Crustacea, General Invertebrate",CMNI 1986-0594,DFO(ABS) 1956 723 B-3,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:3)"
Mollusc,HBH 1963-07-29 Rice L.,HBH 1963-07-29 Rice L.,,"North America: Canada, Ontario, Rice Lake [placekey:26395] (total:2) | North America: Canada, Ontario, Sudbury Distr. (ON), Rice Lake [placekey:11887] (total:2)"
Mollusc,Macoun 1894-06-29 Cypress Hills,Macoun 1894-06-29 Cypress Hills,,"North America: Canada, Saskatchewan, Cypress Hills (SK) [placekey:11208] (total:2) | North America: Canada, Alberta, Cypress Hills [placekey:9945] (total:2)"
"Crustacea, General Invertebrate",CMNI 1989-0129,Ellis 1965 65/20/13,,"North America: Canada, British Columbia [placekey:3] (total:1) | North America: Canada, British Columbia, Cowichan Land Distr., Saanich Inlet [placekey:29188] (total:2) | North America: Canada, British Columbia, Saanich District Municipality [placekey:850] (total:1)"
Mollusc,AHC 1962-07-15 344,AHC 1962-07-15 C344,,"North America: Canada, Manitoba [placekey:6] (total:2) | North America: Canada, Manitoba, Shell River [placekey:25953] (total:1) | North America: Canada, Manitoba, Shell Riv. [placekey:27203] (total:1)"
Mollusc,1933-08 Danford Lake,1933-08 Danford Lake,,"North America: Canada, Québec, Mun. Rég. de Cté de Vaudreuil-Soulanges [placekey:10887] (total:1) | North America: Canada, Québec, Mun. Rég. de Cté de la Vallée-de-la-Gatineau, Lac Danford [placekey:18010] (total:3)"
Crustacea,CMNC 1981-0695,Ellis-unknown,,"North America: Canada, British Columbia [placekey:3] (total:3) | North America: United States, Alaska, Sitka Borough, Hill I. [placekey:9342] (total:1)"
Crustacea,CMNC 2003-0766,DFO (Atlantic Biological Station) 19130715,,"North America: Canada, New Brunswick, Charlotte Co. (NB), Saint Andrews (NB) [placekey:9092] (total:3) | North America: United States, Maine, Washington Co. (ME) [placekey:2197] (total:1)"
Mollusc,CMNML 018205,HBH 1962-11-05 HBH 22,,"North America: Canada, Ontario, Lennox and Addington Co. (ON) [placekey:867] (total:2) | North America: Canada, Ontario, Chatham-Kent, Camden [placekey:17265] (total:2)"
"Crustacea, Mollusc",CMNML 041250,AHC 1963 506,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Québec, Territoire de Kativik, Lac à l'Eau Claire [placekey:26848] (total:2) | North America: Canada, Québec, Territoire de Kativik, Lac Guillaume-Delisle [placekey:26847] (total:1)"
"Crustacea, Mollusc",CMNML 038821,Gorham 1961 G108,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:1) | Atlantic Ocean: Scotian Shelf [placekey:9950] (total:2) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:1)"
Mollusc,AHC 1962-07-15 345,AHC 1962-07-15 345,,"North America: Canada, Manitoba, Shell Riv. [placekey:27203] (total:3) | North America: Canada, Manitoba, Shell River [placekey:25953] (total:1)"
Mollusc,AL 1933-08-02 Ottawa River,AL 1933-08-02 Ottawa River,,"North America: Canada, Ontario, Rideau Riv. [placekey:15619] (total:1) | North America: Canada, Ottawa Riv. [placekey:12156] (total:2) | North America: Canada, Ontario, Ottawa (metro), West Carleton [placekey:12161] (total:1)"
Mollusc,JMG 2015-05-27 Florida,JMG 2015-05-27 Florida,,"Gulf of Mexico [placekey:10024] (total:3) | North America: United States, Florida [placekey:25] (total:1)"
Mollusc,AHC 1961-08-05_C258,AHC 1961-08-05_C258,,"North America: Canada, Ontario, Kenora Distr. (ON), Patricia Portion [placekey:23428] (total:3) | North America: Canada, Ontario, Nipissing Distr. (ON) [placekey:491] (total:1)"
Crustacea,ELB 1980 S05B08,ELB 1980 S05B08,,"North America: United States, Alaska, Gulf of Alaska [placekey:767] (total:1) | North America: United States, Alaska, Sitka Borough, Hogan I. [placekey:9330] (total:3)"
Crustacea,ELB 1976 B18,ELB 1976 B18,,"North America: Canada, British Columbia, Barclay Land Distr. [placekey:287] (total:1) | North America: Canada, British Columbia, Barclay Land Distr., Trevor Ch. [placekey:9365] (total:3)"
Mollusc,CMNML 031654,AHC 1960-08-27 C173,,"North America: Canada, Québec, Mun. Rég. de Cté d'Abitibi, Cton de La Motte [placekey:25512] (total:3) | North America: Canada, Québec, Mun. Rég. de Cté Vallée-de-l'Or [placekey:27906] (total:1)"
Parasite,CMNPA 1982-1553,Webster-197108 Duncan,,"North America: Canada, British Columbia, Quamichan Land Distr., Duncan [placekey:10053] (total:3) | North America: Canada, British Columbia, Nanaimo Land Distr., Nanaimo [placekey:8822] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-2180,Calanus 1950 206,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:3)"
"Crustacea, General Invertebrate",CMNI 1989-0969,Calanus 1963 63-005 L-19,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Northwest Territories, Franklin Bay [placekey:18740] (total:3)"
"Crustacea, General Invertebrate",CMNI 1985-0425,DFO(ABS) 1961 61-1 B-1,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:3)"
Crustacea,CMNC 1992-1122,Slattery-19800701,,"North America: United States, Alaska [placekey:17] (total:1) | North America: United States, Alaska, Nome Census Area, Saint Lawrence I. [placekey:782] (total:3)"
"Crustacea, General Invertebrate",CMNI 1900-2484,Calanus 1961 61-15,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Hudson Bay [placekey:13168] (total:2) | North America: Canada, Nunavut, Roes Welcome Sound [placekey:28222] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0631,DFO(ABS) 1956 828 B-43,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:3)"
"Crustacea, Mollusc",AHC&EGM 1968-06-01 C936,AHC&EGM 1968-06-01 C936,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Alberta, Kananaskis [placekey:24740] (total:3)"
"Crustacea, General Invertebrate",CMNI 1987-0168,Dawson-18850922,,"North America: Canada, British Columbia, Range 1 Coast Land Distr., Blunden Hbr. [placekey:8957] (total:1) | North America: Canada, British Columbia, Nanoose Land Distr., Nanoose Bay [placekey:27433] (total:3)"
"Crustacea, Mollusc",CMNML 070886,Oughton-1969-07-30 G210,,"North America: Canada, Ontario, Wellington Co. (ON), Centre Wellington Twp. [placekey:25607] (total:2) | North America: Canada, Ontario [placekey:7] (total:1) | North America: Canada, Ontario, Wellington Co. (ON), Irvine Creek [placekey:26740] (total:1)"
"Crustacea, Mollusc",CMNML 035647,McAllister-1960 AUG,,"North America: Canada, Yukon Territory [placekey:13] (total:1) | North America: Canada, Yukon Territory, Pauline Cove [placekey:11614] (total:3)"
"Crustacea, Mollusc",CMNML 038825,Gorham 1961 G116,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:1) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:3)"
Parasite,CMNPA 1987-2097,CWS Pathology Section-19650000 - 19670000,,"North America: Canada [placekey:2] (total:1) | North America: Canada, Northwest Territories [placekey:14] (total:3)"
Crustacea,OSU 1970 BMT 155,OSU 1970 BMT 155,,"North America: United States, Oregon [placekey:53] (total:3) | Pacific Ocean: Cascadia Abyssal Plain [placekey:29034] (total:1)"
Mollusc,CMNML 031642,Clarke-1961-07-27 C243,,"North America: Canada, Ontario, Algoma Distr. (ON) [placekey:469] (total:3) | North America: Canada, Ontario [placekey:7] (total:1)"
Mollusc,EWS 1962-07-26 Baker Lake,EWS 1962-07-26 Baker Lake,,"North America: Canada, Nunavut, Baker Lake [placekey:12350] (total:3) | North America: Canada, Nunavut, Kitikmeot Region [placekey:25219] (total:1)"
Mollusc,FWG 1970-05-31 Burnstown,FWG 1970-05-31 Burnstown,,"North America: Canada, Ontario, Renfrew Co. (ON), Renfrew [placekey:10744] (total:2) | North America: Canada, Ontario, Renfrew Co. (ON), Burnstown [placekey:12961] (total:2)"
Mollusc,Bender 1963-05-11 Rideau River,Bender 1963-05-11 Rideau River,,"North America: Canada, Ontario, Rideau Riv. [placekey:15619] (total:3) | North America: Canada, Ontario, Ottawa (metro), Ottawa [placekey:225] (total:1)"
Crustacea,ELB 1954 B08,ELB 1954 B08,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:2) | North America: Canada, Newfoundland and Labrador, Burin-Placentia West Distr. [placekey:322] (total:2)"
Mollusc,FWS&JHS 1999-05-27 99/092,FWS&JHS 1999-05-27 99/092,,"North America: Canada, Ontario, Lake Nipissing [placekey:13944] (total:1) | North America: Canada, Ontario, Nipissing Distr. (ON), Sturgeon Falls [placekey:34082] (total:3)"
Mollusc,AL 1933-04-14 Hartwell's Locks,AL 1933-04-14 Hartwell's Locks,,"North America: Canada, Ontario, Rideau Riv. [placekey:15619] (total:2) | North America: Canada, Ontario, Ottawa (metro), Ottawa [placekey:225] (total:2)"
Mollusc,REO 1934-07-22 Taylor Lake,REO 1934-07-22 Taylor Lake,,"North America: Canada, Québec, Mun. Rég. de Cté des Collines-de-l'Outaouais, Cton de Masham [placekey:10706] (total:2) | North America: Canada, Québec, Mun. Rég. de Cté des Collines-de-l'Outaouais, Lac Taylor [placekey:26470] (total:2)"
Mollusc,CMNML 043426,AHC 1962-07-21 C364,,"North America: Canada, Saskatchewan, Carrot Riv. [placekey:25823] (total:3) | North America: Canada, Saskatchewan [placekey:5] (total:1)"
"Crustacea, Mollusc",CMNML 038466,DFO (ABS) 1965 65-1021,,"North America: Canada, Northwest Territories [placekey:14] (total:3) | North America: Canada, Nunavut, Bathurst Inlet [placekey:83] (total:1)"
Mollusc,CMNML 065698,CGG 1970-06-15 CMNML 065698,,"North America: Canada, Manitoba [placekey:6] (total:3) | North America: Canada, Ontario [placekey:7] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0270,Calanus 1962 62-2003 B-23,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Somerset I., Creswell Bay [placekey:19529] (total:3)"
"Crustacea, General Invertebrate",CMNI 1985-0471,Calanus 1962 62-4009 B-30,,"North America: Canada, Nunavut, Cornwallis I. [placekey:134] (total:1) | North America: Canada, Nunavut, Cornwallis I. [placekey:8676] (total:3)"
Mollusc,CMNML 031730,Clarke-1960-08-04 C144,,"North America: Canada, Ontario, Thunder Bay Distr. (ON) [placekey:457] (total:3) | North America: Canada, Ontario [placekey:7] (total:1)"
Mollusc,HDA 1962-09-16 040650,HDA 1962-09-16 040650,,"North America: United States, Louisiana, De Soto Parish [placekey:2134] (total:3) | North America: United States, Louisiana, Red River Parish, Bayou Pierre [placekey:24422] (total:1)"
Crustacea,ORourke 1977 E01,ORourke 1977 E01,,"North America: Canada, British Columbia, New Westminster Land Distr., Indian Arm [placekey:28084] (total:3) | North America: Canada, British Columbia, New Westminster Land Distr., Burrard Inlet [placekey:13734] (total:1)"
Mollusc,CMNML 002392,Macoun-1884 Lake Hannah,,"North America: Canada, Ontario, Thunder Bay Distr. (ON) [placekey:457] (total:3) | North America: Canada, Ontario [placekey:7] (total:1)"
"Crustacea, General Invertebrate",CMNI 1987-0280,Van Vliet-19660907,,"North America: Canada, British Columbia [placekey:3] (total:1) | North America: Canada, British Columbia, Queen Charlotte Islands Land Distr. [placekey:24243] (total:3)"
General Invertebrate,KHN 2006-06-27 V-2044,KHN 2006-06-27 V-2044,,"North America: Canada, British Columbia, Queen Charlotte Islands Land Distr., Moresby I. [placekey:365] (total:2) | Pacific Ocean: Hecate Strait [placekey:26522] (total:2)"
Mollusc,EMK 1934 Loughborough Lake,EMK 1934 Loughborough Lake,,"North America: Canada, Ontario, Frontenac Co. (ON), Kingston [placekey:24528] (total:2) | North America: Canada, Ontario [placekey:7] (total:2)"
Mollusc,AHC&WH&LM&HDA 1967-08-08 C900,AHC&WH&LM&HDA 1967-08-08 C900,,"North America: Canada, Ontario [placekey:7] (total:1) | North America: Canada, Ontario, Kenora Distr. (ON) [placekey:451] (total:2) | North America: Canada, Ontario, Kenora Distr. (ON), Kenora [placekey:10008] (total:1)"
Mollusc,DO 1955-06-08 Q15,DO 1955-06-08 Q15,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Québec, Territoire de Kativik [placekey:10879] (total:3)"
Parasite,CMNPA 1984-5760,Arai 1965 HPA-121,,"North America: Canada, British Columbia, Range 3 Coast Land Distr., Cathedral Pt. [placekey:10251] (total:3) | North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10233] (total:3)"
Parasite,CMNPA 1984-7678,Arai 1965 HPA-101,,"North America: Canada, British Columbia, Range 3 Coast Land Distr., North Bentinck Arm [placekey:10250] (total:3) | North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10233] (total:3)"
Mollusc,CMNML 017238,Herrington-1962-08-17 HBH 17,,"North America: Canada, Ontario, Hastings Co. (ON), Moira Riv. [placekey:23623] (total:2) | North America: Canada, Ontario, Hastings Co. (ON), Tweed Twp. [placekey:11921] (total:1)"
General Invertebrate,CMNI 1900-2905,Johansen 1917-09 Prince 31,,"North America: Canada, Gulf of St. Lawrence [placekey:16749] (total:1) | North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Nova Scotia, Cape Breton Island [placekey:384] (total:1)"
Crustacea,CMNC 1994-0029,Gorham-19630528 200 fm,,"Atlantic Ocean: Labrador Sea [placekey:17649] (total:2) | North America: Canada, Newfoundland and Labrador [placekey:12] (total:1)"
"Crustacea, Mollusc",CMNML 036222,Calanus 1956 801 B-15,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:2)"
"Crustacea, General Invertebrate",CMNI 1985-0484,DFO(ABS) 1965 65-1016 20,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Parry Bay (NU) [placekey:26319] (total:2)"
Crustacea,ELB 1980 S07B06,ELB 1980 S07B06,,"North America: United States, Alaska, Gulf of Alaska [placekey:767] (total:1) | North America: United States, Alaska, Sitka Borough, Hill I. [placekey:9342] (total:2)"
"Crustacea, General Invertebrate",CMNI 1986-0431,Calanus 1959 59-57 B-43,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, James Bay (NU) [placekey:26232] (total:2)"
"Crustacea, General Invertebrate",CMNI 1989-0265,Gorham 1960 23,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Gulf of St. Lawrence [placekey:16749] (total:2)"
"Crustacea, General Invertebrate",CMNI 1900-2645,Johansen 1917 Prince 30,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Nova Scotia, Inverness Co. (NS), Cheticamp I. [placekey:28889] (total:2)"
Crustacea,ELB 1966 W31a,ELB 1966 W31a,,"North America: United States, Washington, Kitsap Co. [placekey:3949] (total:2) | North America: United States, Washington, Jefferson Co. (WA), Marrowstone I. [placekey:27812] (total:1)"
"Crustacea, Mollusc",CMNML 067103,Thomas-1964 JUN 07 plot 28,,"North America: Canada, Prince Edward Island [placekey:11] (total:1) | North America: Canada, Gulf of St. Lawrence [placekey:16749] (total:2)"
Parasite,CMNPA 1987-1117,Sekerak-1970-ADS-71-248,,"North America: Canada, British Columbia [placekey:3] (total:2) | Pacific Ocean: Queen Charlotte Sound [placekey:24300] (total:1)"
"Crustacea, General Invertebrate",CMNI 1986-0760,Calanus 1962 62-2001,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Somerset I., Creswell Bay [placekey:19529] (total:2)"
Crustacea,CMNC 1992-0197,OSU 1973 BMT 322,,"Pacific Ocean: Cascadia Abyssal Plain [placekey:29034] (total:1) | North America: United States, Oregon [placekey:53] (total:2)"
"Crustacea, General Invertebrate",CMNI 1985-0264,Calanus 1955 722 B-19,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:2)"
Mollusc,CMNML 002279,JM 1905-00-00 002279,,"North America: Canada, Québec, Fleuve Saint-Laurent [placekey:26342] (total:2) | North America: Canada, Québec, Mun. Rég. de Cté de la Côte-de-Beaupré, Riv. Montmorency [placekey:26825] (total:1)"
Mollusc,AHC 1960-05-29 Lac McGregor,AHC 1960-05-29 Lac McGregor,,"North America: Canada, Québec, Gatineau Métropolitain, Cton de Templeton [placekey:10785] (total:1) | North America: Canada, Québec, Mun. Rég. de Cté des Collines-de-l'Outaouais, Lac McGregor [placekey:12791] (total:2)"
Mollusc,CMNML 028728,LBC 1963-10-08 CB31,,"North America: Lake Erie [placekey:25790] (total:2) | North America: United States, Michigan, Monroe Co. (MI), Luna Pier [placekey:23257] (total:1)"
"Crustacea, Mollusc",CMNML 035693,Calanus 1951 329,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Qikiqtaaluk Region, Baffin I., Frobisher Bay [placekey:192] (total:2)"
Mollusc,AHC&al. 1962-08-01 398,AHC&al. 1962-08-01 398,,"North America: Canada, Saskatchewan [placekey:5] (total:2) | North America: Canada, Manitoba, Shell Riv. [placekey:27203] (total:1)"
Mollusc,AHC 1962-07-14 C341,AHC 1962-07-14 C341,,"North America: Canada, Manitoba, Grandview [placekey:29006] (total:2) | North America: Canada, Manitoba, Valley River [placekey:25958] (total:1)"
Mollusc,AHC&HDA 1963-07-28 527,AHC&HDA 1963-07-28 527,,"North America: Canada, Québec, Mun. Rég. de Cté d'Abitibi-Ouest, La Sarre [placekey:27562] (total:2) | North America: Canada, Québec, Mun. Rég. de Cté d'Abitibi-Ouest, Palmarolle [placekey:27540] (total:1)"
Mollusc,PFK 00-00-00 Rouge Riv.,PFK 00-00-00 Rouge Riv.,,"North America: Canada, Ontario, Toronto, Scarborough [placekey:12221] (total:2) | North America: Canada, Ontario, York Region (ON) [placekey:887] (total:1)"
Mollusc,FWS 1999-09-04 99/151/a,FWS 1999-09-04 99/151/a,,"North America: Canada, Ontario, Leeds and Grenville United Co., Leeds and the Thousand Islands Twp. [placekey:25970] (total:2) | North America: Canada, Ontario, Leeds and Grenville United Co., Gananoque Riv. [placekey:27017] (total:1)"
Crustacea,ELB 1975 P14b,ELB 1975 P14b,,"North America: Canada, British Columbia, Barclay Land Distr. [placekey:287] (total:2) | North America: Canada, British Columbia, Pacific Rim National Park Reserve [placekey:28239] (total:1)"
"Crustacea, General Invertebrate",CMNI 1989-0863,Canadian Fisheries Exhibit,,"North America: Canada, Québec, Mun. Rég. de Cté de la Mitis, Métis-sur-Mer [placekey:10633] (total:2) | North America: Canada, Nova Scotia, Halifax Co. (NS), Sable I. [placekey:10668] (total:1)"
